year,fires,people,units,property_value_average,property_value_max_disparity,property_value_standard_deviation
2008,28,1085,320,693498.057692,83347275.0,1710742.34758
2009,16,581,173,699326.430028,64473199.0,1739020.59659
2010,17,747,234,715376.770244,74958124.0,1826156.13046
2011,17,744,242,721698.477491,75522557.0,1808688.88189
2012,21,718,215,750446.351966,77323673.0,1855121.24512
2013,15,538,168,788832.29106,65303737.0,1888575.2999
year,fires,people,units,property_value_average,property_value_max_disparity,property_value_standard_deviation
2008,1,1,1,1,1,1
2009,0.571428571429,0.535483870968,0.540625,1.00840430953,0.773548973257,1.01652981178
2010,0.607142857143,0.688479262673,0.73125,1.03154834006,0.899347027242,1.06746415264
2011,0.607142857143,0.685714285714,0.75625,1.04066402131,0.906119090276,1.05725381993
2012,0.75,0.661751152074,0.671875,1.08211745317,0.927728866961,1.08439546595
2013,0.535714285714,0.495852534562,0.525,1.13746863789,0.783513762148,1.1039507513
