year,fires,people,units,property_value_average,property_value_max_disparity,property_value_standard_deviation
2008,23,780,242,300177.698915,12570104.0,276115.591878
2009,24,760,232,303814.935429,12821505.0,271686.803799
2010,19,666,208,307676.022435,12791118.0,274339.016208
2011,21,688,219,314287.149997,24827356.0,327453.802316
2012,16,723,226,325362.814629,33130553.0,371261.599399
2013,24,715,212,335972.042385,34565068.0,380867.485447
year,fires,people,units,property_value_average,property_value_max_disparity,property_value_standard_deviation
2008,1,1,1,1,1,1
2009,1.04347826087,0.974358974359,0.95867768595,1.01211694449,1.01999991408,0.983960383951
2010,0.826086956522,0.853846153846,0.859504132231,1.02497961556,1.01758251165,0.993565826334
2011,0.913043478261,0.882051282051,0.904958677686,1.04700366194,1.9751114231,1.18593013922
2012,0.695652173913,0.926923076923,0.933884297521,1.08390068884,2.63566260072,1.34458759418
2013,1.04347826087,0.916666666667,0.876033057851,1.11924384656,2.74978377267,1.37937695896
