year,fires,people,units,property_value_average,property_value_max_disparity,property_value_standard_deviation
2008,310,11252,3409,660094.725224,885380400.0,4771704.98331
2009,235,9021,2904,695164.526258,899841960.0,5024499.88062
2010,221,8225,2585,726323.336492,1304371973.0,6196649.80526
2011,242,9424,3037,725591.883648,904469084.0,5417855.85226
2012,226,9091,3012,749448.840631,922558464.0,5510907.37049
2013,242,8469,2652,779856.019835,941009633.0,5659891.19153
year,fires,people,units,property_value_average,property_value_max_disparity,property_value_standard_deviation
2008,1,1,1,1,1,1
2009,0.758064516129,0.801724137931,0.851862716339,1.05312843702,1.01633372503,1.05297789746
2010,0.712903225806,0.730981158905,0.75828688765,1.10033198076,1.4732333955,1.29862383088
2011,0.78064516129,0.83753999289,0.890877090056,1.09922387791,1.02155986737,1.13541299624
2012,0.729032258065,0.807945254177,0.883543561162,1.13536559526,1.04199106282,1.15491368175
2013,0.78064516129,0.752666192677,0.777940745087,1.18143046753,1.06283088376,1.18613602713
